BR,rho,rec_sp,don_sp,sensitivity
0.2,0.19,Cm,Cc,0.9314847586403854
0.2,0.19,Cm,Ac,0.965666750962408
0.2,0.19,Cm,both,0.9315211667923867
0.2,0.19,Cm,Cc,0.9605324972906772
0.2,0.19,Cm,Ac,0.977523191529395
0.2,0.19,Cm,both,0.9751756766012538
0.2,0.19,Cm,Cc,0.9120476486710274
0.2,0.19,Cm,Ac,0.9999108418753797
0.2,0.19,Cm,both,0.9678589334021186
0.2,0.19,Cm,Cc,0.9266915813896082
0.2,0.19,Cm,Ac,0.9836917211998571
0.2,0.19,Cm,both,0.9535701417402823
0.2,0.19,Cm,Cc,0.9534974084617833
0.2,0.19,Cm,Ac,1.004735492952355
0.2,0.19,Cm,both,1.0202826067706054
0.2,0.19,Cm,Cc,0.9184365836878629
0.2,0.19,Cm,Ac,0.9816423509713136
0.2,0.19,Cm,both,0.9403185336646757
0.2,0.19,Cm,Cc,0.9273363050205551
0.2,0.19,Cm,Ac,0.9986792935304689
0.2,0.19,Cm,both,0.9792798384682837
0.2,0.19,Cm,Cc,0.9329267547248453
0.2,0.19,Cm,Ac,0.9730384075504245
0.2,0.19,Cm,both,0.9572827441995864
0.2,0.19,Cm,Cc,0.9665877324459307
0.2,0.19,Cm,Ac,0.9830182763990725
0.2,0.19,Cm,both,1.0089284562830612
0.2,0.19,Cm,Cc,0.9301870135465345
0.2,0.19,Cm,Ac,0.9864545692926294
0.2,0.19,Cm,both,0.9704918086886544
0.2,0.19,Cm,Cc,0.9114895977444125
0.2,0.19,Cm,Ac,0.9777597751764578
0.2,0.19,Cm,both,0.9269208137152696
0.2,0.19,Cm,Cc,0.958278251031185
0.2,0.19,Cm,Ac,0.9724912104944101
0.2,0.19,Cm,both,0.967974136908782
0.2,0.19,Cm,Cc,0.9411648783705675
0.2,0.19,Cm,Ac,0.9713507965846262
0.2,0.19,Cm,both,0.9687911689042326
0.2,0.19,Cm,Cc,0.9379238132119085
0.2,0.19,Cm,Ac,0.9917557293117651
0.2,0.19,Cm,both,0.9743556460244599
0.2,0.19,Cm,Cc,0.9703437871360927
0.2,0.19,Cm,Ac,0.9734000878421205
0.2,0.19,Cm,both,0.9876214810515145
0.2,0.19,Cm,Cc,0.9194166071206665
0.2,0.19,Cm,Ac,0.9626599776964128
0.2,0.19,Cm,both,0.9197029148173914
0.2,0.19,Cm,Cc,0.9839974814639413
0.2,0.19,Cm,Ac,0.98883950047546
0.2,0.19,Cm,both,1.0603941166896476
0.2,0.19,Cm,Cc,0.9302815882509119
0.2,0.19,Cm,Ac,0.9826530604157254
0.2,0.19,Cm,both,0.9532673848958574
0.2,0.19,Cm,Cc,0.9439774827906473
0.2,0.19,Cm,Ac,0.9821655986604554
0.2,0.19,Cm,both,0.9736679752668927
0.2,0.19,Cm,Cc,0.8919470868129972
0.2,0.19,Cm,Ac,0.9642403408361779
0.2,0.19,Cm,both,0.9037077538691632
0.2,0.19,Cm,Cc,0.9417816133673004
0.2,0.19,Cm,Ac,0.9694298021761044
0.2,0.19,Cm,both,0.9502682534019481
0.2,0.19,Cm,Cc,0.9345385041346036
0.2,0.19,Cm,Ac,0.9892394973211439
0.2,0.19,Cm,both,0.9956283483137301
0.2,0.19,Cm,Cc,0.9199330349195816
0.2,0.19,Cm,Ac,0.9923551437857951
0.2,0.19,Cm,both,0.9655929189469841
0.2,0.19,Cm,Cc,0.942740842227155
0.2,0.19,Cm,Ac,1.004691513364975
0.2,0.19,Cm,both,0.9940534592089764
0.2,0.19,Cm,Cc,0.9703112299652839
0.2,0.19,Cm,Ac,0.9981140789092874
0.2,0.19,Cm,both,1.0299075095557135
0.2,0.19,Cm,Cc,0.9327780776214678
0.2,0.19,Cm,Ac,0.9860573616136381
0.2,0.19,Cm,both,0.9710949745322036
0.2,0.19,Cm,Cc,0.926882483516324
0.2,0.19,Cm,Ac,0.995490391206822
0.2,0.19,Cm,both,0.9889462081778304
0.2,0.19,Cm,Cc,0.94011674704249
0.2,0.19,Cm,Ac,0.9948904612865053
0.2,0.19,Cm,both,0.9887951076631981
0.2,0.19,Cm,Cc,0.9449989361171534
0.2,0.19,Cm,Ac,0.9980802321860931
0.2,0.19,Cm,both,1.0108415478104915
0.2,0.19,Cm,Cc,0.9377635507989179
0.2,0.19,Cm,Ac,0.9834506364907787
0.2,0.19,Cm,both,0.9852834098642648
0.2,0.19,Cm,Cc,0.9664450484042635
0.2,0.19,Cm,Ac,0.9838311257135873
0.2,0.19,Cm,both,0.9919120592718428
0.2,0.19,Cm,Cc,0.9943643585296065
0.2,0.19,Cm,Ac,0.9795000239887899
0.2,0.19,Cm,both,1.0393642316433902
0.2,0.19,Cm,Cc,0.9117087428956503
0.2,0.19,Cm,Ac,0.9832361066201888
0.2,0.19,Cm,both,0.9528819093496319
0.2,0.19,Cm,Cc,0.9731284782762998
0.2,0.19,Cm,Ac,1.0022487192444136
0.2,0.19,Cm,both,1.0471185090579287
0.2,0.19,Cm,Cc,0.9228210383787647
0.2,0.19,Cm,Ac,0.9832265631467837
0.2,0.19,Cm,both,0.9554206349960519
0.2,0.19,Cm,Cc,0.9233425214630941
0.2,0.19,Cm,Ac,0.9810862395840887
0.2,0.19,Cm,both,0.9489487759062293
0.2,0.19,Cm,Cc,0.9368595276452396
0.2,0.19,Cm,Ac,0.9810414059250336
0.2,0.19,Cm,both,0.9769898693222564
0.2,0.19,Cm,Cc,0.9352335035800334
0.2,0.19,Cm,Ac,0.9695463126985703
0.2,0.19,Cm,both,0.9498935963719626
0.2,0.19,Cm,Cc,0.9306442495975026
0.2,0.19,Cm,Ac,0.9852658130356938
0.2,0.19,Cm,both,0.9642748835245241
0.2,0.19,Cm,Cc,0.9287539749387795
0.2,0.19,Cm,Ac,0.98861214516781315
0.2,0.19,Cm,both,0.9738410882942778
0.2,0.19,Cm,Cc,0.9572982428950704
0.2,0.19,Cm,Ac,0.9914215180701755
0.2,0.19,Cm,both,1.0042923433882773
0.2,0.19,Cm,Cc,0.9796257572086978
0.2,0.19,Cm,Ac,1.0007522236840114
0.2,0.19,Cm,both,1.0581787416625452
0.2,0.19,Cm,Cc,0.9377941007412206
0.2,0.19,Cm,Ac,0.9695547286009628
0.2,0.19,Cm,both,0.9549900272574368
0.2,0.19,Cm,Cc,0.949921554308164
0.2,0.19,Cm,Ac,0.9949310948014937
0.2,0.19,Cm,both,1.012775627990182
0.2,0.19,Cm,Cc,0.9040873337292692
0.2,0.19,Cm,Ac,0.9614899102543905
0.2,0.19,Cm,both,0.9029898816349534
0.2,0.19,Cm,Cc,0.9341753519394944
0.2,0.19,Cm,Ac,0.9910998325542709
0.2,0.19,Cm,both,0.9728220168378732
0.2,0.19,Cm,Cc,0.9098068030947071
0.2,0.19,Cm,Ac,0.9635333334091875
0.2,0.19,Cm,both,0.9061719336218961
0.2,0.19,Cm,Cc,0.9631532928449075
0.2,0.19,Cm,Ac,0.9794082807067584
0.2,0.19,Cm,both,1.0061500827231213
0.2,0.19,Cm,Cc,0.943632020083922
0.2,0.19,Cm,Ac,0.969754674890975
0.2,0.19,Cm,both,0.9505113902535111
0.2,0.19,Cm,Cc,0.9238455802062873
0.2,0.19,Cm,Ac,0.9770902780043237
0.2,0.19,Cm,both,0.9462363286832158
0.2,0.19,Cm,Cc,0.9413741118669453
0.2,0.19,Cm,Ac,0.9771449157788433
0.2,0.19,Cm,both,0.9670292222130726
0.2,0.19,Cm,Cc,0.8955355262936165
0.2,0.19,Cm,Ac,0.9585308855322021
0.2,0.19,Cm,both,0.893956125193593
0.2,0.19,Cm,Cc,0.932527964773577
0.2,0.19,Cm,Ac,0.9789647150817574
0.2,0.19,Cm,both,0.9537483333688554
0.2,0.19,Cm,Cc,0.9270890334231404
0.2,0.19,Cm,Ac,0.9854699843489036
0.2,0.19,Cm,both,0.965491718012322
0.2,0.19,Cm,Cc,0.9597246922225305
0.2,0.19,Cm,Ac,0.9938205483300971
0.2,0.19,Cm,both,1.0301289841946888
0.2,0.19,Cm,Cc,0.9409885242433947
0.2,0.19,Cm,Ac,0.9860906118093246
0.2,0.19,Cm,both,0.9753146279250813
0.2,0.19,Cm,Cc,0.9581282117325851
0.2,0.19,Cm,Ac,0.9938543013432656
0.2,0.19,Cm,both,1.0201722377621842
0.2,0.19,Cm,Cc,0.9232558308240728
0.2,0.19,Cm,Ac,0.9727736082513729
0.2,0.19,Cm,both,0.9318147184101583
0.2,0.19,Cm,Cc,0.9407680240885813
0.2,0.19,Cm,Ac,0.9966768311291737
0.2,0.19,Cm,both,0.9912593486586138
0.2,0.19,Cm,Cc,0.9241725625470838
0.2,0.19,Cm,Ac,0.9777358403595283
0.2,0.19,Cm,both,0.9353033639270737
0.2,0.19,Cm,Cc,0.9189835145650012
0.2,0.19,Cm,Ac,0.982438275394598
0.2,0.19,Cm,both,0.9513846656988182
0.2,0.19,Cm,Cc,0.928253589707572
0.2,0.19,Cm,Ac,0.9832687806877287
0.2,0.19,Cm,both,0.9652771116621364
0.2,0.19,Cm,Cc,0.9403788591259911
0.2,0.19,Cm,Ac,0.9809096617455333
0.2,0.19,Cm,both,0.9709779973531815
0.2,0.19,Cm,Cc,0.9623422907317509
0.2,0.19,Cm,Ac,0.9866458410099076
0.2,0.19,Cm,both,1.0135093039332357
0.2,0.19,Cm,Cc,0.9426408779281426
0.2,0.19,Cm,Ac,0.9809725596475184
0.2,0.19,Cm,both,0.9768266606192724
0.2,0.19,Cm,Cc,0.9158447003284912
0.2,0.19,Cm,Ac,0.9741778844253796
0.2,0.19,Cm,both,0.9307148571117259
0.2,0.19,Cm,Cc,0.9336277764945767
0.2,0.19,Cm,Ac,0.988870726621656
