BR,run,Weeks,Cc,Cm,Ac
0.2,8,4,183,89,NA
0.2,8,5,156,132,NA
0.2,8,6,118,173,NA
0.2,8,7,353,31,NA
0.2,8,8,226,54,NA
0.2,8,9,101,146,0
0.2,8,10,88,165,12
0.2,8,11,193,24,98
0.2,8,12,83,33,72
0.2,8,13,14,65,142
0.2,8,14,26,66,178
0.2,8,15,43,8,139
0.2,8,16,25,24,194
0.2,8,17,13,51,138
0.2,8,18,50,42,131
0.2,8,19,41,41,79
0.2,8,20,6,100,89
0.2,8,21,23,78,81
0.2,8,22,36,24,103
0.2,8,23,14,95,124
0.2,8,24,1,109,100
0.2,8,25,10,116,164
0.2,8,26,28,72,29
0.2,8,27,1,125,86
0.2,8,28,0,110,170
0.2,8,29,0,60,176
0.2,8,30,5,70,198
0.2,8,31,0,98,179
0.2,8,32,NA,117,176
0.2,8,33,NA,112,63
0.2,8,34,NA,109,105
0.2,8,35,NA,121,133
0.2,8,36,NA,84,182
0.2,8,37,NA,116,103
0.2,8,38,NA,96,128
0.2,8,39,NA,114,148
0.2,8,40,NA,93,128
0.2,8,41,NA,78,169
0.2,8,42,NA,105,123
0.2,8,43,NA,96,130
0.2,8,44,NA,106,137
0.2,8,45,NA,145,91
0.2,8,46,NA,115,120
0.2,8,47,NA,117,125
0.2,8,48,NA,111,133
0.2,8,49,NA,127,121
0.2,8,50,NA,101,134
0.2,8,51,NA,108,116
0.2,8,52,NA,73,215
0.2,8,53,NA,78,131
0.2,8,54,NA,57,210
0.2,8,55,NA,79,107
0.2,8,56,NA,84,140
0.2,8,57,NA,NA,NA
0.2,8,58,NA,NA,NA
0.2,8,59,NA,NA,NA
0.2,8,60,NA,NA,NA
0.2,8,61,NA,NA,NA
0.2,8,62,NA,NA,NA
0.2,8,63,NA,NA,NA
0.2,8,64,NA,NA,NA
0.2,8,65,NA,NA,NA
0.2,8,66,NA,NA,NA
0.2,8,67,NA,NA,NA
0.2,8,68,NA,NA,NA
0.2,8,69,NA,NA,NA
0.2,8,70,NA,NA,NA
0.2,8,71,NA,NA,NA
0.2,8,72,NA,NA,NA
0.2,8,73,NA,NA,NA
0.2,8,74,NA,NA,NA
0.2,8,75,NA,NA,NA
0.2,8,76,NA,NA,NA
0.2,8,77,NA,NA,NA
0.2,8,78,NA,NA,NA
0.2,8,79,NA,NA,NA
0.2,8,80,NA,NA,NA
